CSA,CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,NPOPCHG_2010,NPOPCHG_2011,NATURALINC2010,NATURALINC2011,BIRTHS2010,BIRTHS2011,DEATHS2010,DEATHS2011,NETMIG2010,NETMIG2011,INTERNATIONALMIG2010,INTERNATIONALMIG2011,DOMESTICMIG2010,DOMESTICMIG2011,RESIDUAL2010,RESIDUAL2011
132,12940,,22005,"Ascension Parish, LA",County or equivalent,107215,107169,107862,109985,693,2123,249,958,405,1639,156,681,432,1155,17,61,415,1094,12,10
132,12940,,22033,"East Baton Rouge Parish, LA",County or equivalent,440171,440178,440879,441438,701,559,675,2811,1539,6318,864,3507,31,-2268,220,612,-189,-2880,-5,16
132,12940,,22037,"East Feliciana Parish, LA",County or equivalent,20267,20263,20198,20117,-65,-81,24,19,60,245,36,226,-90,-100,1,4,-91,-104,1,0
132,12940,,22047,"Iberville Parish, LA",County or equivalent,33387,33387,33362,33230,-25,-132,45,136,99,420,54,284,-69,-269,1,2,-70,-271,-1,1
132,12940,,22063,"Livingston Parish, LA",County or equivalent,128026,128069,128687,130251,618,1564,213,934,447,1839,234,905,396,631,19,66,377,565,9,-1
132,12940,,22077,"Pointe Coupee Parish, LA",County or equivalent,22802,22802,22787,22703,-15,-84,29,64,74,304,45,240,-42,-146,3,9,-45,-155,-2,-2
132,12940,,22091,"St. Helena Parish, LA",County or equivalent,11203,11203,11206,10949,3,-257,21,31,29,131,8,100,-16,-289,1,3,-17,-292,-2,1
132,12940,,22121,"West Baton Rouge Parish, LA",County or equivalent,23788,23788,23954,24109,166,155,62,153,84,339,22,186,101,3,5,19,96,-16,3,-1
132,12940,,22125,"West Feliciana Parish, LA",County or equivalent,15625,15625,15633,15460,8,-173,23,3,28,114,5,111,-14,-176,0,1,-14,-177,-1,0
132,38200,,,"Pierre Part, LA",Micropolitan Statistical Area,23421,23421,23367,23153,-54,-214,16,17,54,239,38,222,-70,-231,1,4,-71,-235,0,0
132,38200,,22007,"Assumption Parish, LA",County or equivalent,23421,23421,23367,23153,-54,-214,16,17,54,239,38,222,-70,-231,1,4,-71,-235,0,0
138,,,,"Beckley-Oak Hill, WV",Combined Statistical Area,124898,124898,124904,124826,6,-78,-23,-151,379,1524,402,1675,36,79,11,35,25,44,-7,-6
138,13220,,,"Beckley, WV",Micropolitan Statistical Area,78859,78859,78896,79127,37,231,-6,-60,235,943,241,1003,46,291,7,23,39,268,-3,0
138,13220,,54081,"Raleigh County, WV",County or equivalent,78859,78859,78896,79127,37,231,-6,-60,235,943,241,1003,46,291,7,23,39,268,-3,0
138,36060,,,"Oak Hill, WV",Micropolitan Statistical Area,46039,46039,46008,45699,-31,-309,-17,-91,144,581,161,672,-10,-212,4,12,-14,-224,-4,-6
138,36060,,54019,"Fayette County, WV",County or equivalent,46039,46039,46008,45699,-31,-309,-17,-91,144,581,161,672,-10,-212,4,12,-14,-224,-4,-6
140,,,,"Bend-Prineville, OR",Combined Statistical Area,178711,178711,178833,181177,122,2344,158,628,498,1984,340,1356,-27,1714,48,195,-75,1519,-9,2
140,13460,,,"Bend, OR",Metropolitan Statistical Area,157733,157733,157932,160338,199,2406,163,619,446,1773,283,1154,46,1785,37,153,9,1632,-10,2
140,13460,,41017,"Deschutes County, OR",County or equivalent,157733,157733,157932,160338,199,2406,163,619,446,1773,283,1154,46,1785,37,153,9,1632,-10,2
140,39260,,,"Prineville, OR",Micropolitan Statistical Area,20978,20978,20901,20839,-77,-62,-5,9,52,211,57,202,-73,-71,11,42,-84,-113,1,0
140,39260,,41013,"Crook County, OR",County or equivalent,20978,20978,20901,20839,-77,-62,-5,9,52,211,57,202,-73,-71,11,42,-84,-113,1,0
142,,,,"Birmingham-Hoover-Cullman, AL",Combined Statistical Area,1208453,1208456,1209564,1212800,1108,3236,954,4445,3848,16244,2894,11799,155,-1187,444,1357,-289,-2544,-1,-22
142,13820,,,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1128047,1128050,1129068,1132264,1018,3196,941,4421,3610,15283,2669,10862,74,-1207,411,1245,-337,-2452,3,-18
142,13820,,1007,"Bibb County, AL",County or equivalent,22915,22919,22880,22766,-39,-114,4,10,56,225,52,215,-44,-125,2,10,-46,-135,1,1
142,13820,,1009,"Blount County, AL",County or equivalent,57322,57322,57387,57677,65,290,32,134,170,690,138,556,36,160,27,110,9,50,-3,-4
142,13820,,1021,"Chilton County, AL",County or equivalent,43643,43642,43722,43895,80,173,27,132,135,569,108,437,54,43,10,52,44,-9,-1,-2
142,13820,,1073,"Jefferson County, AL",County or equivalent,658466,658466,658386,658931,-80,545,511,2653,2160,9452,1649,6799,-596,-2115,256,690,-852,-2805,5,7
142,13820,,1115,"St. Clair County, AL",County or equivalent,83593,83598,83835,84398,237,563,83,330,271,1096,188,766,154,242,15,58,139,184,0,-9
142,13820,,1117,"Shelby County, AL",County or equivalent,195085,195080,195858,197936,778,2078,327,1258,622,2441,295,1183,446,831,97,311,349,520,5,-11
142,13820,,1127,"Walker County, AL",County or equivalent,67023,67023,67000,66661,-23,-339,-43,-96,196,810,239,906,24,-243,4,14,20,-257,-4,0
142,18980,,,"Cullman, AL",Micropolitan Statistical Area,80406,80406,80496,80536,90,40,13,24,238,961,225,937,81,20,33,112,48,-92,-4,-4
142,18980,,1043,"Cullman County, AL",County or equivalent,80406,80406,80496,80536,90,40,13,24,238,961,225,937,81,20,33,112,48,-92,-4,-4
148,,,,"Boston-Worcester-Manchester, MA-RI-NH",Combined Statistical Area,7559060,7559060,7567225,7601061,8165,33836,6855,25563,21259,84161,14404,58598,1414,8580,5242,20546,-3828,-11966,-104,-307
148,14460,,,"Boston-Cambridge-Quincy, MA-NH",Metropolitan Statistical Area,4552402,4552402,4559372,4591112,6970,31740,4753,18143,13090,51666,8337,33523,2270,13867,3796,15494,-1526,-1627,-53,-270
148,14460,14484,,"Boston-Quincy, MA",Metropolitan Division,1887792,1887792,1890569,1903947,2777,13378,1944,7577,5467,21577,3523,14000,822,5903,1842,7319,-1020,-1416,11,-102
148,14460,14484,25021,"Norfolk County, MA",County or equivalent,670850,670850,672107,675436,1257,3329,436,1609,1778,6966,1342,5357,829,1757,344,1553,485,204,-8,-37
148,14460,14484,25023,"Plymouth County, MA",County or equivalent,494919,494919,495731,497579,812,1848,316,1207,1320,5181,1004,3974,511,671,228,768,283,-97,-15,-30
148,14460,14484,25025,"Suffolk County, MA",County or equivalent,722023,722023,722731,730932,708,8201,1192,4761,2369,9430,1177,4669,-518,3475,1270,4998,-1788,-1523,34,-35
148,14460,15764,,"Cambridge-Newton-Framingham, MA",Metropolitan Division,1503085,1503085,1505720,1518171,2635,12451,1798,6937,4470,17581,2672,10644,875,5613,1379,6062,-504,-449,-38,-99
148,14460,15764,25017,"Middlesex County, MA",County or equivalent,1503085,1503085,1505720,1518171,2635,12451,1798,6937,4470,17581,2672,10644,875,5613,1379,6062,-504,-449,-38,-99
148,14460,37764,,"Peabody, MA",Metropolitan Division,743159,743159,744484,748930,1325,4446,714,2532,2193,8653,1479,6121,631,1960,482,1962,149,-2,-20,-46
148,14460,37764,25009,"Essex County, MA",County or equivalent,743159,743159,744484,748930,1325,4446,714,2532,2193,8653,1479,6121,631,1960,482,1962,149,-2,-20,-46
148,14460,40484,,"Rockingham County-Strafford County, NH",Metropolitan Division,418366,418366,418599,420064,233,1465,297,1097,960,3855,663,2758,-58,391,93,151,-151,240,-6,-23
148,14460,40484,33015,"Rockingham County, NH",County or equivalent,295223,295223,295391,296207,168,816,182,628,639,2544,457,1916,-8,204,68,79,-76,125,-6,-16
148,14460,40484,33017,"Strafford County, NH",County or equivalent,123143,123143,123208,123857,65,649,115,469,321,1311,206,842,-50,187,25,72,-75,115,0,-7
148,18180,,,"Concord, NH",Micropolitan Statistical Area,146445,146445,146427,146579,-18,152,86,293,340,1381,254,1088,-103,-134,20,63,-123,-197,-1,-7
148,18180,,33013,"Merrimack County, NH",County or equivalent,146445,146445,146427,146579,-18,152,86,293,340,1381,254,1088,-103,-134,20,63,-123,-197,-1,-7
148,29060,,,"Laconia, NH",Micropolitan Statistical Area,60088,60088,60087,60223,-1,136,-16,-99,146,578,162,677,19,239,12,58,7,181,-4,-4
148,29060,,33001,"Belknap County, NH",County or equivalent,60088,60088,60087,60223,-1,136,-16,-99,146,578,162,677,19,239,12,58,7,181,-4,-4
148,31700,,,"Manchester-Nashua, NH",Metropolitan Statistical Area,400721,400721,400974,401696,253,722,457,1717,1107,4448,650,2731,-204,-1000,221,675,-425,-1675,0,5
148,31700,,33011,"Hillsborough County, NH",County or equivalent,400721,400721,400974,401696,253,722,457,1717,1107,4448,650,2731,-204,-1000,221,675,-425,-1675,0,5
148,39300,,,"Providence-New Bedford-Fall River, RI-MA",Metropolitan Statistical Area,1600852,1600852,1601065,1600224,213,-841,843,2940,4283,17019,3440,14079,-602,-3767,779,2487,-1381,-6254,-28,-14
148,39300,,25005,"Bristol County, MA",County or equivalent,548285,548285,548537,548922,252,385,329,1117,1522,6007,1193,4890,-65,-718,132,447,-197,-1165,-12,-14
148,39300,,44001,"Bristol County, RI",County or equivalent,49875,49875,49863,49800,-12,-63,-35,-149,98,361,133,510,26,87,11,24,15,63,-3,-1
148,39300,,44003,"Kent County, RI",County or equivalent,166158,166158,166069,165535,-89,-534,16,-48,403,1571,387,1619,-101,-483,45,116,-146,-599,-4,-3
148,39300,,44005,"Newport County, RI",County or equivalent,82888,82888,82847,82695,-41,-152,7,22,183,714,176,692,-46,-170,60,88,-106,-258,-2,-4
148,39300,,44007,"Providence County, RI",County or equivalent,626667,626667,626797,626709,130,-88,531,2086,1826,7419,1295,5333,-398,-2185,506,1736,-904,-3921,-3,11
148,39300,,44009,"Washington County, RI",County or equivalent,126979,126979,126952,126563,-27,-389,-5,-88,251,947,256,1035,-18,-298,25,76,-43,-374,-4,-3
